B01-F12_22, 1401, 313.037, 162.203, 18.6781, 10.6385593111, 41.2951076861
B01-F12_23, 1403, 535.527, 115.243, 33.8271, 10.6238937954, 41.2992999355
B01-F13_3, 672, 677.185, 210.256, 34.8404, 10.7885148915, 41.1749278157
B01-F13_4, 672, 52.1847, 210.256, 34.8404, 10.7885148915, 41.1749278157
B01-F13_6, 668, 155.177, 134.376, 35.8325, 10.8102821928, 41.1725624042
B01-F13_6, 670, 409.725, 126.792, 37.1222, 10.8059345144, 41.1739041391
B01-F13_6, 671, 613.729, 238.897, 34.2289, 10.8033368877, 41.1764788919
B01-F13_8, 673, 367.824, 248.424, 37.5465, 10.7864802784, 41.1822700533
B01-F13_12, 677, 268.868, 141.198, 22.5, 10.7903452178, 41.1854264655
B01-F13_13, 680, 277.051, 290.535, 20.9559, 10.8259412433, 41.1818507273
B01-F13_15, 683, 104.707, 356.882, 63.5003, 10.8082715302, 41.1887816845
B01-F13_18, 682, 477.572, 187.581, 63.5663, 10.8142545202, 41.1902843273
B01-F14_13, 696, 612.278, 258.774, 56.25, 10.7799540676, 41.1967422234
B01-F14_13, 704, 261.978, 335.533, 27.5, 10.7864369472, 41.1957364288
B01-F14_16, 709, 205.518, 449.065, 22.5, 10.7566228046, 41.2074509088
B01-F14_20, 709, 205.518, 49.0651, 22.5, 10.7566228046, 41.2074509088
B01-F14_24, 716, 532.71, 431.933, 35.0, 10.7569810536, 41.2192324061
B01-F14_27, 640, 497.069, 393.634, 27.544, 10.7708413314, 41.2200902039
B01-F14_28, 716, 532.71, 31.9326, 35.0, 10.7569810536, 41.2192324061
B01-F15_21, 716, 31.3991, 434.067, 35.0, 10.7569810536, 41.2192324061
B01-F15_25, 716, 31.3991, 34.0669, 35.0, 10.7569810536, 41.2192324061
B01-F15_28, 1424, 665.987, 108.846, 31.25, 10.7152075487, 41.2343610105
B01-F16_2, 1415, 477.375, 324.139, 63.3314, 10.6820702871, 41.2119149231
B01-F16_25, 1424, 120.606, 130.572, 31.25, 10.7152075487, 41.2343610105
B01-F16_27, 1425, 652.472, 167.914, 37.5, 10.6854240407, 41.2449041471
B01-F16_27, 1426, 618.466, 243.502, 43.75, 10.6865657634, 41.245671121
B01-F16_28, 1425, 27.4716, 167.914, 37.5, 10.6854240407, 41.2449041471
B01-F17_10, 1438, 652.989, 112.989, 70.8244, 10.6434289886, 41.2338784411
B01-F17_11, 1438, 27.9889, 112.989, 70.8244, 10.6434289886, 41.2338784411
B01-F17_14, 1439, 688.82, 402.759, 25.0, 10.648006027, 41.2428327953
B01-F17_15, 1439, 63.8204, 402.759, 25.0, 10.648006027, 41.2428327953
B01-F17_18, 1439, 688.82, 2.75883, 25.0, 10.648006027, 41.2428327953
B01-F17_19, 1439, 63.8204, 2.75883, 25.0, 10.648006027, 41.2428327953
B01-F18_3, 1444, 446.823, 58.1652, 58.7954, 10.5898398336, 41.2387971643
B03-F13_3, 597, 651.655, 4.32912, 22.9065, 10.8596692294, 41.2698705632
B03-F13_4, 597, 26.6547, 4.32912, 22.9065, 10.8596692294, 41.2698705632
B09-F01_6, 410, 433.752, 137.119, 40.7588, 11.1968880924, 41.6127708917
B09-F01_7, 412, 638.491, 379.47, 25.1643, 11.1846362242, 41.620532212
