_id,zooniverse_id,subimage
509935796aa0e064b6000077,AAP000003b,B01-F03_12
509935796aa0e064b6000078,AAP000003c,B01-F03_12_F475W
509935796aa0e064b6000079,AAP000003d,B01-F03_13
509935796aa0e064b600007a,AAP000003e,B01-F03_13_F475W
509935796aa0e064b600007b,AAP000003f,B01-F03_14
509935796aa0e064b600007c,AAP000003g,B01-F03_14_F475W
509935796aa0e064b600007d,AAP000003h,B01-F03_15
509935796aa0e064b600007e,AAP000003i,B01-F03_15_F475W
509935796aa0e064b600007f,AAP000003j,B01-F03_16
509935796aa0e064b6000080,AAP000003k,B01-F03_16_F475W
509935796aa0e064b6000081,AAP000003l,B01-F03_17
509935796aa0e064b6000082,AAP000003m,B01-F03_17_F475W
509935796aa0e064b6000083,AAP000003n,B01-F03_18
509935796aa0e064b6000084,AAP000003o,B01-F03_18_F475W
509935796aa0e064b6000085,AAP000003p,B01-F03_19
509935796aa0e064b6000086,AAP000003q,B01-F03_19_F475W
509935796aa0e064b6000087,AAP000003r,B01-F03_1_F475W
509935796aa0e064b6000088,AAP000003s,B01-F03_2
509935796aa0e064b6000089,AAP000003t,B01-F03_20
509935796aa0e064b600008a,AAP000003u,B01-F03_20_F475W
509935796aa0e064b600008b,AAP000003v,B01-F03_21
509935796aa0e064b600008c,AAP000003w,B01-F03_21_F475W
509935796aa0e064b600008d,AAP000003x,B01-F03_22
509935796aa0e064b600008e,AAP000003y,B01-F03_22_F475W
509935796aa0e064b600008f,AAP000003z,B01-F03_23
509935796aa0e064b6000090,AAP0000040,B01-F03_23_F475W
509935796aa0e064b6000091,AAP0000041,B01-F03_24
509935796aa0e064b6000092,AAP0000042,B01-F03_24_F475W
509935796aa0e064b6000093,AAP0000043,B01-F03_25
509935796aa0e064b6000094,AAP0000044,B01-F03_25_F475W
509935796aa0e064b6000095,AAP0000045,B01-F03_26
509935796aa0e064b6000096,AAP0000046,B01-F03_26_F475W
509935796aa0e064b6000097,AAP0000047,B01-F03_27
509935796aa0e064b6000098,AAP0000048,B01-F03_27_F475W
509935796aa0e064b6000099,AAP0000049,B01-F03_28
509935796aa0e064b600009a,AAP000004a,B01-F03_28_F475W
509935796aa0e064b600009b,AAP000004b,B01-F03_2_F475W
509935796aa0e064b600009c,AAP000004c,B01-F03_3
509935796aa0e064b600009d,AAP000004d,B01-F03_3_F475W
509935796aa0e064b600009e,AAP000004e,B01-F03_4
509935796aa0e064b600009f,AAP000004f,B01-F03_4_F475W
509935796aa0e064b60000a0,AAP000004g,B01-F03_5
509935796aa0e064b60000a1,AAP000004h,B01-F03_5_F475W
509935796aa0e064b60000a2,AAP000004i,B01-F03_6
509935796aa0e064b60000a3,AAP000004j,B01-F03_6_F475W
509935796aa0e064b60000a4,AAP000004k,B01-F03_7
509935796aa0e064b60000a5,AAP000004l,B01-F03_7_F475W
509935796aa0e064b60000a6,AAP000004m,B01-F03_8
509935796aa0e064b60000a7,AAP000004n,B01-F03_8_F475W
509935796aa0e064b60000a8,AAP000004o,B01-F03_9
509935796aa0e064b60000a9,AAP000004p,B01-F03_9_F475W
509935796aa0e064b60000aa,AAP000004q,B01-F04_1
509935796aa0e064b60000ab,AAP000004r,B01-F04_10
509935796aa0e064b60000ac,AAP000004s,B01-F04_10_F475W
509935796aa0e064b60000ad,AAP000004t,B01-F04_11
509935796aa0e064b60000ae,AAP000004u,B01-F04_11_F475W
509935796aa0e064b60000af,AAP000004v,B01-F04_12
509935796aa0e064b60000b0,AAP000004w,B01-F04_12_F475W
509935796aa0e064b60000b1,AAP000004x,B01-F04_13
509935796aa0e064b60000b2,AAP000004y,B01-F04_13_F475W
509935796aa0e064b60000b3,AAP000004z,B01-F04_14
509935796aa0e064b60000b4,AAP0000050,B01-F04_14_F475W
509935796aa0e064b60000b5,AAP0000051,B01-F04_15
509935796aa0e064b60000b6,AAP0000052,B01-F04_15_F475W
509935796aa0e064b60000b7,AAP0000053,B01-F04_16
509935796aa0e064b60000b8,AAP0000054,B01-F04_16_F475W
509935796aa0e064b60000b9,AAP0000055,B01-F04_17
509935796aa0e064b60000ba,AAP0000056,B01-F04_17_F475W
509935796aa0e064b60000bb,AAP0000057,B01-F04_18
509935796aa0e064b60000bc,AAP0000058,B01-F04_18_F475W
509935796aa0e064b60000bd,AAP0000059,B01-F04_19
509935796aa0e064b60000be,AAP000005a,B01-F04_19_F475W
509935796aa0e064b60000bf,AAP000005b,B01-F04_1_F475W
509935796aa0e064b60000c0,AAP000005c,B01-F04_2
509935796aa0e064b60000c1,AAP000005d,B01-F04_20
