B01-F01_1, 600, 41.0526824544, 491.803174812
B01-F01_27, 602, 562.710944702, 215.195169146
B01-F01_5, 600, 41.0526824544, 91.8031748116
B01-F02_15, 608, 619.839720905, 171.253781988
B01-F02_26, 609, 104.893970468, 230.204127658
B01-F03_21, 615, 319.276245059, 453.397733246
B01-F03_25, 615, 319.276245059, 53.397733246
B01-F04_5, 1380, 231.149332541, 144.672811737
B01-F05_20, 1384, 467.832490509, 226.522632147
B01-F07_4, 639, 643.747194906, 248.359325331
B01-F07_5, 630, 71.6433660442, 421.989574566
B01-F07_8, 620, 239.414883823, 120.912754851
B01-F07_9, 630, 71.6433660442, 21.9895745657
B01-F08_1, 639, 139.122529175, 243.588102691
B01-F12_12, 1412, 560.942239572, 460.079678387
B01-F12_16, 1412, 560.942239572, 60.0796783872
B01-F12_21, 1406, 556.526746796, 443.149246506
B01-F12_25, 1406, 556.526746796, 43.1492465057
B01-F13_28, 688, 367.322932064, 142.00302433
B01-F14_11, 720, 685.209237621, 287.448874624
B01-F14_12, 720, 60.2092376206, 287.448874624
B01-F14_18, 721, 135.56974246, 465.584791668
B01-F14_22, 721, 135.56974246, 65.5847916683
B01-F16_2, 1432, 458.906845365, 227.073527898
B02-F06_4, 600, 498.796396737, 446.411261538
B02-F06_8, 600, 498.796396737, 46.4112615381
B02-F12_8, 630, 530.257462364, 376.157124402
B09-F01_17, 417, 565.979407864, 493.622773037
B09-F01_19, 425, 568.883436306, 369.727831965
B09-F01_21, 417, 565.979407864, 93.622773037
B09-F01_26, 420, 218.118919003, 149.263642377
B09-F01_3, 411, 723.531376711, 479.892983758
B09-F01_4, 411, 98.5313767113, 479.892983758
B09-F01_7, 411, 723.531376711, 79.8929837576
B09-F01_8, 411, 98.5313767113, 79.8929837576
B09-F02_16, 432, 710.447893275, 273.398831134
B09-F02_2, 431, 719.488386214, 34.0095501756
B09-F02_20, 435, 465.675772763, 446.570090738
B09-F02_23, 436, 428.27375421, 411.575837783
B09-F02_24, 435, 465.675772763, 46.5700907384
B09-F02_27, 436, 428.27375421, 11.5758377828
B09-F02_3, 431, 94.4883862138, 34.0095501756
B09-F02_4, 447, 552.192492067, 231.642846789
B09-F03_1, 447, 53.3911291533, 232.195327558
B09-F03_11, 443, 311.403136262, 448.863372592
B09-F03_13, 432, 212.226915692, 273.877216424
B09-F03_15, 443, 311.403136262, 48.8633725916
B09-F03_18, 446, 550.71206256, 295.672306735
B09-F03_4, 439, 389.496871131, 106.30162244
B09-F04_10, 1189, 425.124898036, 482.134892277
B09-F04_11, 1192, 594.312508563, 102.353031051
B09-F04_14, 1189, 425.124898036, 82.134892277
B09-F04_26, 1193, 559.461792037, 101.583079885
B09-F04_4, 1307, 522.379605372, 148.84483373
B09-F05_1, 1211, 331.01517627, 357.221121973
B09-F05_1, 1307, 24.3632887716, 149.044146486
B09-F05_11, 1205, 339.095375454, 126.179661548
B09-F05_12, 1225, 100.819299127, 89.7741341602
B09-F05_14, 1202, 277.010374238, 166.926052836
B09-F05_2, 1215, 303.778329143, 171.135748209
B09-F05_28, 1226, 399.592736961, 145.844791217
B09-F05_4, 1223, 145.737367958, 188.90093865
B09-F05_4, 1224, 249.609500156, 480.837997509
B09-F05_8, 1224, 249.609500156, 80.8379975089
B09-F05_8, 1225, 100.819299127, 489.77413416
B09-F06_8, 1228, 281.527436993, 160.966596698
B09-F07_23, 462, 498.685365917, 344.52388827
B09-F07_9, 463, 174.913122423, 186.51848359
B09-F07_9, 464, 510.537821442, 119.475263427
B09-F08_2, 472, 718.67673581, 439.532276755
B09-F08_26, 431, 721.933986758, 312.574288424
B09-F08_27, 431, 96.9339867584, 312.574288424
B09-F08_3, 472, 93.6767358097, 439.532276755
B09-F08_6, 472, 718.67673581, 39.5322767547
B09-F08_7, 472, 93.6767358097, 39.5322767547
B09-F09_13, 504, 227.744788956, 289.507005678
B09-F09_2, 586, 299.229479563, 83.314638284
B09-F09_20, 511, 438.138239812, 178.977205452
B09-F09_24, 510, 335.725515192, 131.359150311
B09-F09_28, 439, 392.165789868, 384.558925811
B09-F10_1, 1237, 219.328333159, 495.317020147
B09-F10_10, 1250, 628.589581437, 248.104030847
B09-F10_11, 1250, 3.58958143693, 248.104030847
B09-F10_21, 1259, 641.919292499, 206.479746796
