zooniverse_id,name,location,thumbnail_location,ra,dec
AAP0000001,tutorial,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/tutorial.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/tutorial.jpg,,
AAP0000002,B01-F01_01,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_01.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_01.jpg,10.855394833387482,41.23449451782934
AAP0000003,B01-F01_02,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_02.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_02.jpg,10.84484957558064,41.23802535276506
AAP0000004,B01-F01_03,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_03.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_03.jpg,10.83430317830325,41.24155522560821
AAP0000005,B01-F01_04,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_04.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_04.jpg,10.823755642085391,41.24508413597321
AAP0000006,B01-F01_05,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_05.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_05.jpg,10.858400369613692,41.239569548954435
AAP0000007,B01-F01_06,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_06.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_06.jpg,10.8478544551116,41.24310065827133
AAP0000008,B01-F01_07,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_07.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_07.jpg,10.837307400775835,41.246630805353256
AAP0000009,B01-F01_08,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_08.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_08.jpg,10.826759207136497,41.25015998981459
AAP000000a,B01-F01_09,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/color/B01-F01_09.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/color/B01-F01_09.jpg,10.861406372748547,41.24464450210625
