zooniverse_id,name,location,thumbnail_location,ra,dec
AAP000000j,B15-F09_14_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_14_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_14_F475W.jpg,11.260143854788785,41.881635190075194
AAP000000k,B15-F09_14_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_14_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_14_F475W_sc.jpg,11.260143854788785,41.881635190075194
AAP000000l,B15-F09_14_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_14_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_14_sc.jpg,11.260143854788785,41.881635190075194
AAP000000m,B15-F09_15,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_15.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_15.jpg,11.248628110376323,41.88299312536047
AAP000000n,B15-F09_15_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_15_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_15_F475W.jpg,11.248628110376323,41.88299312536047
AAP000000o,B15-F09_15_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_15_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_15_F475W_sc.jpg,11.248628110376323,41.88299312536047
AAP000000p,B15-F09_15_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_15_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_15_sc.jpg,11.248628110376323,41.88299312536047
AAP000000q,B15-F09_16,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_16.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_16.jpg,11.237111876949283,41.884349910147655
AAP000000r,B15-F09_16_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_16_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_16_F475W.jpg,11.237111876949283,41.884349910147655
AAP000000s,B15-F09_16_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_16_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_16_F475W_sc.jpg,11.237111876949283,41.884349910147655
AAP000000t,B15-F09_16_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_16_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_16_sc.jpg,11.237111876949283,41.884349910147655
AAP000000u,B15-F09_17,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_17.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_17.jpg,11.272827959820146,41.88576307537238
AAP000000v,B15-F09_17_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_17_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_17_F475W.jpg,11.272827959820146,41.88576307537238
AAP000000w,B15-F09_17_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_17_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_17_F475W_sc.jpg,11.272827959820146,41.88576307537238
AAP000000x,B15-F09_17_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_17_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_17_sc.jpg,11.272827959820146,41.88576307537238
AAP000000y,B15-F09_18,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_18.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_18.jpg,11.261311741314463,41.88712227782875
AAP000000z,B15-F09_18_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_18_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_18_F475W.jpg,11.261311741314463,41.88712227782875
AAP0000010,B15-F09_18_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_18_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_18_F475W_sc.jpg,11.261311741314463,41.88712227782875
AAP0000011,B15-F09_18_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_18_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_18_sc.jpg,11.261311741314463,41.88712227782875
AAP0000012,B15-F09_19,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_19.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_19.jpg,11.249795032717593,41.88848032973643
AAP0000013,B15-F09_19_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_19_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_19_F475W.jpg,11.249795032717593,41.88848032973643
AAP0000014,B15-F09_19_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_19_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_19_F475W_sc.jpg,11.249795032717593,41.88848032973643
AAP0000015,B15-F09_19_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_19_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_19_sc.jpg,11.249795032717593,41.88848032973643
AAP0000016,B15-F09_1_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_1_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_1_F475W.jpg,11.2681537617611,41.86381512104444
AAP0000017,B15-F09_1_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_1_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_1_F475W_sc.jpg,11.2681537617611,41.86381512104444
AAP0000018,B15-F09_1_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_1_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_1_sc.jpg,11.2681537617611,41.86381512104444
AAP0000019,B15-F09_2,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_2.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_2.jpg,11.256641398373057,41.86517385626124
AAP000001a,B15-F09_20,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_20.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_20.jpg,11.238277834928951,41.889837230929295
AAP000001b,B15-F09_20_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_20_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_20_F475W.jpg,11.238277834928951,41.889837230929295
AAP000001c,B15-F09_20_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_20_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_20_F475W_sc.jpg,11.238277834928951,41.889837230929295
AAP000001d,B15-F09_20_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_20_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_20_sc.jpg,11.238277834928951,41.889837230929295
